Date,Title,Body
2015-12-17T08:44:33Z,Where media fails on the reporting of migrants and refugees,"Journalists who report on the global migration and refugee crisis often fail to tell the full story and routinely fall into propaganda traps laid by politicians, according to a report published by the Ethical Journalism Network (EJN). “Around the world, media coverage is often politically led with journalists following an agenda dominated by loose language and talk of invasion and swarms,” said Aidan White, EJN’s director. But it doesn’t have to be like that. As White said: “At other moments the story is laced with humanity, empathy and a focus on the suffering of those involved.” The 100-page report, Moving Stories, has been released just ahead of the United Nations-sponsored International Migrants Day on Friday 18 December. It reviews media coverage of migration in the European Union and in 14 countries across the world. Among the topics it highlights are: Missed opportunities: How European media outlets failed to raise the alarm about an imminent influx of refugees fleeing war in Syria and Iraq, even though the story was there to be told a year before the crisis broke in 2015. Hate speech: How malevolent anti-migrant or anti-Muslim statements by politicians like Donald Trump in the United States and some European leaders fuelled increasing public concern and hijacked media coverage. Falling standards: How media failed to provide detailed and reliable information about the refugee crisis because of stretched editorial resources or due to the lack of presence of well-informed journalists able to provide in-depth and sensitive reporting; Sensationalism: How much journalism is driven by hyperbole, intolerance and distortion with media in confusion over what are the correct terms to use to describe migrants, refugees and asylum-seekers. To counter these problems, the report recommends that news media take urgent action to appoint specialist reporters to the migration beat. It also calls for industry wide and in-house training on migration issues and problems of hate-speech; improved links with migrant and refugee groups; and more employment of journalists from ethnic minority communities to strengthen diversity in newsrooms. The report highlights how media coverage, much of it negative and focused on numbers of migrants on the move, took a dramatic turn with the death of Alan Kurdi and the publication of pictures of his body on a beach in Turkey. It was only from that moment that editors woke up to the human tragedy within the migration story. In his foreword to the report Jan Egeland, secretary-general of the Norwegian Refugee Council, sums up the challenge facing media: “It is not just a lack of humanity on the news agenda or a matter of luck or a matter of caring more about some people at the expense of others. We need a broader lens to see what really is going on. The reports states: “There is a tendency, both among many politicians and in sections of the mainstream media, to lump migrants together and present them as a seemingly endless tide of people who will steal jobs, become a burden on the state and ultimately threaten the native way of life. “Such reporting is not only wrong; it is also dishonest. Migrants often bring enormous benefits to their adopted countries.” Download the full report HERE"
2015-11-05T20:05:28Z,Diane Abbott: economic migrants and refugees deserve equal sympathy,"Economic migrants coming to Britain should be treated with the same sympathy as refugees fleeing war, Diane Abbott has said. The shadow international development secretary also said it is wrong and racist to claim, as some of her colleagues in the Labour party had done previously, that eastern European immigrants were the cause of wage cuts for English workers. Abbott was speaking on Thursday at an event to welcome refugees in north London also attended by the Labour leader, Jeremy Corbyn. The refugee and immigration issue is likely to be controversial as Labour seeks to defeat a Ukip challenge in next month’s Oldham West byelection, triggered by the death of Michael Meacher. She said: “I would remind you, thousands of people crossing the Sahara, risking their lives in the Mediterranean, coming over the Balkans, are also economic migrants and we do not want to fall into the error of thinking that refugees are in some sense a class of migrant more deserving of our sympathy. “Just as our hearts goes out to Syrians struggling, dying, suffering and drowning, our hearts should also go out to economic migrants in Nigeria, Eritrea and north Africa, struggling, drowning and suffering. Economic migrants are not a lesser cause.” She said the migration crisis had been caused by problems such as climate change and instability, but “above all there are issues with a series of ill-fated western interventions in Libya, Syria, Iraq and across the Middle East”. The European Union is predicting that there will be as many as 3 million refugees arriving in Europe next year. Without naming any individual, Abbott also criticised “those in the Labour party that seem to want to argue that immigrants are in some sense the cause of our economic woes”. She said: “This is something I deplore. Immigrants in and of themselves do not cause low wages. Predatory employers, deregulated labour markets and weakened trade unions – they cause low wages.” She argued that some people, including members of the Labour party, wrongly contend that the current debate about immigration is not about race by pointing to the fact that eastern Europeans are white. Abbott said: “I would refer them to the toxic anti-Irish racism of the 19th century – the way the Irish were dehumanised and caricatured. Every single allegation made against the eastern Europeans – they were undercutting local labour, they were driving down wages, that they were the cause of the problems of the English working class – every single allegation that you hear made against eastern European migrants today, they said about the Irish in the 19th century. It was wrong then and it is wrong now.” The government’s response to the crisis was inadequate because the refugee conversation had been poisoned by the toxic debate about immigration year after year, she said. Abbott added that it was hypocritical of neoliberals to wring their hands about the effects of eastern Europeans on wages, since it was the liberalisation of labour markets and the weakening of trade unions that were the real culprits. She described Corbyn as “the first authentically leftwing leader of the Labour party in a generation”. Speaking at the event, Corbyn said his success in the Labour leadership election showed “the politics of me, not we, are over”. “It was a victory not for me, but for all those that want to see a different, better and more peaceful world,” he said. He called on Britain to “hold out the hand of humanity and not brutality to refugees. I do not use the language of swarm and swamp and all those things. I look at those people as fellow human beings, just like you, just like me, just doing their best to survive in a cruel and dangerous world”. Corbyn said David Cameron’s pledge to take in up to 20,000 Syrian refugees over five years was inadequate, pointing to the hundreds of thousands being granted asylum by Germany and urging the government to assist local councils in giving a place of safety to refugees in the UK. He insisted he held no brief for those fighting in Syria, and said he only wanted peace in the region. “Further bombing, further interventions, further boots on the ground, further wars is not going to solve the problem. All wars have to end by a political solution,” Corbyn added. Without specifying how many refugees the British government should take, the Labour leader pointed out that Germany has taken hundreds of thousands of refugees and Britain should be doing more. He said: “Refugees should not be treated as a problem, a threat, a difficulty and somehow or other to be confronted and kept out.“The problem across Europe will not be solved by the construction of razor-wire fences around countries, by having gun boats in the sea and by having electronic surveillance and tagging of people all across the world that are trying to achieve a place of safety.” The solution lay “in greater equality and above all by ending the series of wars that have disfigured this century so far,” Corbyn added."
2015-08-28T15:51:21Z,"Migrants, refugees and asylum seekers: what's the difference?","In the current migration crisis, the terms “migrant”, “refugee” and less commonly “asylum seeker” are used daily to mean one and the same thing. Each term, however, has a distinct meaning that carries different international obligations and consequences. If conflated, it can mean the difference between life and death. So what are thoe differences? Migrant At its simplest, a migrant is someone who moves from one place to another in order to live in another country for more than a year. The International Organisation of Migration estimates that 232 million people a year become international migrants and another 740 million move within their own countries. The are many reasons that people become migrants, but those who move to work or seek a better life are generally termed economic migrants. There are, however, also international students, those who move for family reasons and those who migrate because they are fleeing war and persecution. An individual case can be a mixture of all those things. It is, after all, possible to flee the war in Syria and want a better life for your family. Migrants from outside the EU are subject to immigration controls and may need a visa to enter certain countries, including Britain. They do not have immediate access to social housing or benefits, but may have an eventual pathway to settlement and citizenship. They can also be detained or deported if they fail to comply with immigration laws. Just over 636,000 migrants arrived in Britain in the past 12 months, according to the latest figures, which included 25,000 asylum seekers. Once migrants arrive in a country such as Britain there is little agreement over what the word covers. In the past “immigrant” has meant someone who intends to settle in a new country. “Migrant” has been increasingly adopted to cover those who come to work for a short period then return home. “The migrant population” is used to describe foreign nationals resident in a country, but also those who are foreign-born residents even if they have become citizens. Refugee A refugee is a person who has fled armed conflict or persecution and who is recognised as needing of international protection because it is too dangerous for them to return home. They are protected under international law by the 1951 refugee convention, which defines what a refugee is and outlines the basic rights afforded to them. The convention’s basic principle is that refugees should not be expelled or returned to situations where their life and freedom would be under threat. Once someone has been recognised as a refugee, they are supposed to be given access to social housing and welfare benefits and helped to find a job and integrate into society. The UN refugee agency (UNHCR) estimates that there are almost 60 million forcibly displaced people around the world, including those displaced within their own countries. Asylum seeker States are under international obligation to consider claims for asylum and not to immediately return asylum seekers to the countries they have fled from. The refugee convention states that they must be given access to fair and efficient asylum procedures and measures to ensure they live in dignity and safety while their claims are processed. In the UK in practice this means living in no-choice accommodation outside London and south-east England on a minimal level of social security."
2015-09-04T08:20:59Z,"Refugees are Australia's most entrepreneurial migrants, says research","Refugees are not taking Australian jobs, they are creating new ones, according to new government research that reveals humanitarian arrivals are the country’s most entrepreneurial migrants. People from the UK and India – most of whom arrived on skilled or family visas – contributed the largest share of the $38bn earned by migrants in Australia in 2009-10, data from the Australian Bureau of Statistics, released on Friday, reveals. But it was migrants who arrived as refugees who reported the highest proportion of their incomes that year “from their own unincorporated businesses”. This income grew with the length of time they spent in Australia, and “increased sharply” after five years of residency. The report built on earlier research showing humanitarian migrants tended to work several jobs in their first few years in Australia to build capital to start their own businesses, the ABS said. One such entrepreneur is Bassam Jabbar, who recently arrived from Iraq, and with the help of Settlement Services International (SSI), has established a glass-etching artwork business. He told Guardian Australia the biggest hurdle to starting a business was “knowing the country, knowing how people think, the regulations”. “Refugees have left their country, their society, their language behind and so of course they find it easier to work in their own business – especially artists,” he said. Nearly 10% of humanitarian migrants’ incomes in 2009-10 were generated by their own businesses, almost twice the figure recorded in other categories, such as skilled and family migrants. This income was overwhelmingly made by men, most aged between 25 and 44. Afghans earned the largest share of the profits generated by humanitarian migrant businesses. Violet Roumeliotis, the chief executive of SSI, said she “wasn’t surprised at all” by the data. “Being from countries where they need to be enterprising to survive, because there’s no welfare state, refugees are keen to pick an area of passion or where they have a skill and start a business,” she said."
2015-11-19T14:09:16Z,Aid groups say Balkan states blocking refugees based on nationality,"Countries along the Balkan migration trail have begun refusing to admit people of certain nationalities, amid a backlash against refugees in the aftermath of the Paris attacks last Friday. Humanitarian workers active along the borders of Croatia, Serbia and Macedonia reported that refugees and migrants from countries other than Syria, Afghanistan and Iraq were now being stopped, raising the spectre of a migrant logjam in Greece. The move comes after Slovenia, the most northerly country along the trail, suddenly tried to return 168 Moroccan migrants to Croatia on Thursday, in the first major development along the Balkan migration route since Hungary shut its border in September. The decision sparked panic among the countries to Slovenia’s south, who feared that Slovenia was about to block access to anyone who could not easily prove their need for refugee status, and consequently turned back all migrants from Africa and southern Asia. Slovenia said on Thursday afternoon it had not made any permanent decisions, and promised to admit refugees as long as Germany and Austria continued to subsequently take them. But a police spokesman confirmed that Slovenia would discuss with its Balkan neighbours how to limit the flow of so-called economic migrants in the future. “We absolutely need to provide protection to those who need it, whose lives are threatened, who are escaping war zones,” said a spokesman for the Slovenian interior ministry. “For others we will need to reach an agreement on how to respond. No country has limitless capacity, so the capacity should be for those whose lives are really in need.” For now, campaigners on the ground said people from Africa, Iran, Pakistan and Bangladesh – who collectively amount to less than 10% of the flow through the Balkans, according to the UN – were already trapped in limbo at the borders of Croatia, Serbia, and Macedonia, since the three countries did not want to risk the possibility of anyone being stuck on their territory. Médecins Sans Frontières (MSF) said Macedonia had begun to build a barrier along its southern border with Greece. A spokeswoman for the Macedonian interior ministry denied any such barrier was being built, but MSF’s team leader on the border said it was clear that some kind of obstacle was being constructed. “It’s obvious that they want to do something,” said MSF’s Antonis Rigas. “Every 20 metres they’ve put out stones. What for? They haven’t started the construction, but I’m an engineer, and I can say it’s there for something.” Earlier in the week, Macedonia’s cabinet said it was considering whether to build a fence. But it claimed that such a fence, if built, would be used to block the passage of migrants only if upstream countries did the same, risking a bottleneck on Macedonian territory. Serbia has promised not to build a fence, but Slovenia is preparing one in order to better control the flow of refugees. Hungary completed work on a fence in mid-September, causing the refugee route to swerve westwards into Croatia. Should the Balkan countries block the route entirely, Greece may be forced to deal with a logjam of refugees. An average of 4,750 people a day have arrived on its shores from Turkey this month, down from the October average of 6,800 but above the August daily rate of 3,500. Though their problems have received less attention than those of Syrians, many refugees from Africa and south Asia claim to be fleeing human rights abuses. A backlash against migrants and refugees has intensified after a passport used by a migrant to enter Greece in early October was found near the body of a dead bomber in Paris. Police are not yet sure whether the passport holder was a the terrorist. But the uncertainty has led to fears about the threat posed by thousands of undocumented migrants entering Europe’s south-eastern borders, some of whom carry fake documentation. A spokeswoman for the UN refugee agency, UNHCR, said the Balkan countries risked failing to uphold the UN convention on refugees should they begin to screen arrivals on the basis of their origin. “It is important that every individual who is seeking asylum has access to a fair and efficient asylum procedure, regardless of their nationality,” the spokeswoman said. “UNCHR is monitoring the situation and recommending governments that each case is decided based on its predicaments not on the nationality of the asylum seeker. All countries along the Balkans route are signatories to the 1951 convention and UNHCR has been working with the government to build their asylum systems.” Over 600,000 people have so far attempted to walk through the Balkans after landing in Greece in 2015."
2015-12-11T10:42:07Z,"The media needs to tell the truth on migration, not peddle myths | Alberto Nardelli","Over the past week a lot has been said about the success of the far-right Front National at the French regional elections, while the reaction to Donald Trump’s increasingly discriminatory tone has, rightly, been one mostly of disgust. We are right to stand up to the Le Pens and Trumps of this world. When they splutter remarks that are incendiary and false, we have a responsibility to correct their inaccuracies. The reasons why the ideas of the Front National take hold are plentiful and complicated. There is no single simple explanation. However, there can be no doubt that misinformation does not help – and we in the media should feel a professional and moral obligation to confront our own industry when it misleads. The front page of Thursday’s Times of London splashed: “EU buckles as Merkel’s migrants hit 1 million.” The headline topped an article about comments made by the UK prime minister, David Cameron, who said that net migration of 300,000 a year was not sustainable in Britain. The piece also referenced demands that Cameron is making to other European leaders to apply restrictions to EU nationals’ access to UK’s welfare. The Times story pieces together different stories and conflates a range of issues. The result is a distasteful minestrone. First, the one million figure refers to the number of asylum seekers that have arrived in Germany so far this year. The majority of these are from Syria, Afghanistan and Iraq. They are refugees fleeing wars. Second, whatever one thinks of Britain’s level of migration - whether it is too high or not is besides the point - the number has little to do with refugees. The UK hardly takes any refugees. In fact fewer than 5% of migrants to Britain over the past year were asylum seekers. Third, we can state with certainty that refugees escaping conflict are not doing so to claim in-work tax credits. Fourth, the migrants are Angela Merkel’s only insofar as Germany is one of a handful of countries that is welcoming refugees instead of putting up fences, turning the other way, or, like Britain, taking in pitifully low numbers. The problem with the article is more than just a question of interpretation or of cavalier use of terms. Facts without humanity are meaningless. The choice of words we use matters and carries consequences. Behind the use of words like “migrant”, “refugee”, “asylum seeker”, “people”, “swarms” and “floods”, there is powerful symbolism. When terms used for people fleeing war, violence and atrocities, or those used for people moving in search of work, or a better life, become pejorative and generate antipathy, we have a problem. We are choosing not to unite around a shared purpose, but to drive a wedge through society. We are taking an us v them view on the world. There are grave risks when the perception of an issue and facts do not align. It doesn’t matter if the misalignment creates the idea of a country that isn’t grounded in reality – when untruths are repeated often enough they generate fear among people. In turn this defines and drives behaviour. Consider these facts: Britons believe that 23% of migrants are coming to UK to seek asylum while the actual proportion is less than 5% Nearly 40% of Europeans cite immigration as the issue of most concern facing the EU – more than any other issue. Only a year ago, less than 25% of people said the same. One in two of the British public mention immigration as among the most important issues facing the country. Most Europeans greatly overestimate the proportion of their country’s population that is comprised of migrants. The Times of course is not alone. Nearly every day we read headlines about the true toll of mass migration on UK life, the crisis in our schools, the swarms on our streets, migrants stealing our jobs, draining the NHS and fuelling a surge in crime – all actual headlines. Last week a journalist fabricated a tale in order to be able to claim that he had travelled along a refugee route without a passport. This is how far we have come. The same newspaper that carried that particular story (for which it has apologised), had only weeks earlier controversially led with “1 in 5 Brit Muslim’s sympathy for jihadis”. The point is this: the likes of Le Pen and Trump are not a product of the media. However, too often the media provides them with the ammunition and fertile ground that they require to thrive. Don’t take my word for it. Take Trump’s: During a trip to Europe in the 1930s a young John F Kennedy wrote a letter to a friend. In it he said: “It seems so easy to fall into a distorted view of public affairs based more on personal bias than on informed understanding.” The challenge we face is not new. But it is one that remains not only critical, it is one we have mostly failed to meet. If we want to confront the Le Pens and Trumps of this world then we need to change the way we talk about the people that they vilify."
2015-10-19T00:02:01Z,"Battle for Aleppo threatens to create fresh refugee exodus, says Turkish PM","The battle for Aleppo, compounded by Russian airstrikes on the city, threatens to create a new refugee exodus from Syria, Turkey’s prime minister, Ahmet Davutoğlu, has warned. Speaking after talks with the German chancellor, Angela Merkel, Davutoğlu called for action to prevent a new wave of refugees from moving north across the Turkish border. Aleppo is under assault both from Isis and from forces backing the Syrian government, including Iranian fighters and Russian aircraft. As the influx of refugees into Europe continued, Hungary closed its border with Croatia at the weekend, forcing thousands of migrants to find a new route to through Slovenia and into Austria. On Sunday, Slovenia said it would restrict its intake to 2,500 arrivals a day to ease pressure on both its own and Austria’s borders. The decision caused delays further down the migrant trail, raising fears of human bottlenecks. Davutoğlu said on Sunday: “It is our priority that steps will be taken to prevent an increase of refugees from Aleppo due to the offensive [there] by Iranian militia, Isis and Russian attacks.” “Aleppo is Syria’s second-biggest city. The [Russian] airstrikes in and around Aleppo as well as the Isis attack on the city worry us. They could cause another wave of refugees.” Merkel said Germany was prepared to accelerate accession process for Turkey’s membership of EU in exchange for Turkish help to secure European borders and to make sure that fewer refugees reach Europe. “How can we organise the accession process more dynamically?” Merkel asked at the press conference in Istanbul. “Germany is ready to open chapter 17 this year, and to make preparations for [chapters] 23 and 24. We can talk about the details,” she added, referring to EU accession procedures. Faced with a record influx of refugees this year, Germany is keen for countries on the migration frontline – particularly Turkey and Greece – to deal with the problem there rather than export it north. The onward passage of refugees through the Balkans towards central Europe in recent weeks has placed huge pressure on transit countries. Human rights groups have condemned the European plan for ignoring the rights of refugees. “Talks between the EU and Turkey on ‘migration management’ risk putting the rights of refugees a distant second behind border control measures designed to prevent refugees from reaching the EU,” Andrew Gardner, Turkey researcher for Amnesty International said on Saturday. Davutoğlu said Turkey was prepared to cooperate with Germany and the EU to prevent illegal migration, but underlined that the refugee crisis could not be solved without finding a solution to the war in Syria. Pointing out that Turkey has more than two million Syrian refugees and has spent approximately $7.5bn (£5bn) since the refugee crisis began, he said the international community needed to show more support. The government in Ljubljana said it had refused on Sunday to allow in a train carrying 1,800 migrants from Croatia, after more than 3,000 people surged into the tiny EU member state the day before. German police union chief Rainer Wendt told the Welt am Sonntag newspaper Germany should build a fence along its border with Austria. “If we close our borders this way, Austria will also close its border with Slovenia, and that’s exactly the effect we need,” he said. Agence France-Presse contributed to this report"
2015-12-20T09:00:48Z,Prejudice against migrants speaks 311 different languages,"Did you know that the English language is “starting to die out” in British schools; indeed, that in some of them “English is barely heard at all”? Answer yes if you read a Daily Express front page “special investigation” that reported 311 different tongues apparently spoken in our classrooms. Answer no if you read last week’s Independent Press Standards Organisation verdict on the tale, which found it “inaccurate” and “completely unsupported” by the cited data. Commodious correction with front page presence enforced. Good for Ipso, you may say. At least the Voice of Desmond must fall silent for five minutes or so. But then put this finding in a wider, more dismaying context. “ Moving Stories” – a new report from the Ethical Journalism Network – sets media coverage of refugee crises and migrant flows in exactly that broader landscape and duly seeks many, rather obvious, reforms: expertise, particular care, training, access, increased resources. In sum, standard ethical answers to ethical dilemmas. But, then again, the report’s recommendations can’t be more compelling than the basic situation it outlines – one which changes from country to country, from Turkey to the Gambia to China; lands where migration and attitudes to it vary profoundly. What you think about it depends on where you sit. There is no One Problem: there are countless different problems. And that is our special problem. Which columnist said: “I don’t care. Show me pictures of coffins, show me bodies floating in water, play violins and show me skinny people looking sad. I still don’t care … these migrants are like cockroaches. They might look a bit ‘Bob Geldof’s Ethiopia circa 1984’, but they are built to survive a nuclear bomb. They are survivors”? Which big TV channel warned that “Islamic State is flooding Europe with refugees”? Which prime minister warned that “two million refugees are waiting on the border”? That first, now notorious, quote comes, of course, from Katie Hopkins in the Sun. But the television news headline is Bulgarian, as is the PM with two million on his mind. And Moving Stories has many more grisly examples – from Italy to the inevitable US – of supposed fact stewed in fear, hate and botched perception. What’s to be done (apart from building checklists)? The Italian Carta di Roma, an agreement on responsible coverage of the refugee crisis between many of Italy’s major media players, damns “inaccurate, simplified or distorted information” in clause 1. The editors’ code at Ipso in Britain echoes almost exactly the same formula, with “misleading” instead of “simplified”. There’s no rocket science here. Facts on refugee numbers, refugee plights, refugee solutions are vital. Facts on migrant languages, migrant assimilation, migrant children are vital, too. Of course it’s all difficult: too many national standpoints, too many myths, too much misunderstanding-cum-malice. Of course one person’s fact can be another person’s prejudice. But don’t hide modest satisfaction when the woolliest yarns are disentangled. Make a new passion for fact-checking the theme song of 2016. Leveson: the force doesn’t reawaken After Part One, you’ll remember, there was supposed to be Leveson Part Two. But settle down at the back. Various reasons for a pronounced lack of action can be evinced. Judges (least of all Sir Brian) see no point in presiding over such arid revels. Governments manifest nil enthusiasm for finding the cash. But the basic reasons for total forgetfulness lie in the original briefs. Stage Two was supposed to examine “the extent of unlawful or improper conduct within News International, other media organisations or other organisations. It will also consider the extent to which any relevant police force investigated allegations relating to News International, and whether the police received corrupt payments or were otherwise complicit in misconduct.” Well, we sort of know what happened inside News International. See the decision not to pursue criminal corporate proceedings. And we know how the trail ran dry at Trinity Mirror (though not, of course, the mighty legal tsunami of civil claims still washing up on the Mirror’s beach). But the role of the boys in blue – including some in the uppermost regions of Scotland Yard? There the Leveson Crystal Ball One misted over pretty swiftly. Crystal Ball Two, then, would surely have been about the links, the columns, the contracts – the merry-go-round that found Fleet Street and the Yard much too close for comfort. Thank heavens for officialdom’s wisdom in deeming that we’ve heard quite enough of such discomfiting stuff. Case closed."
2015-04-06T06:21:30Z,Reclaim Australia rallies 'hurtful' to new migrants and refugees,"Refugees and new migrants feel more isolated and vulnerable following last weekend’s Reclaim Australia rallies, community leaders said. The anti-Islam rallies on Saturday attracted hundreds of demonstrators nationwide who were protesting against halal certification, sharia law and increased Muslim migration. Counterprotests were held in several cities, in some cases eclipsing the original rallies. Edward Solo, vice president of the Federation of African Communities Councils in Australia, said the anti-Islam rallies are “hurtful”. “It is really a fearful message,” he said. Solo said many new arrivals will worry that they will be the next targets of the rallies. “It is hurtful to your efforts to rebuild your lives [which were] shattered back home,” he said. Kon Karapanagiotidis from the Asylum Seeker Resource Centre said that the protests build on the anti-refugee sentiment that has been stirred up by the government’s hardline border protection policies. “This is a community that feels like it is under attack, a community that feels isolated and unwelcome,” he said. “Reclaim Australia makes asylum seekers feel more under threat.” Joe Caputo, chair of the Federation of Ethnic Communities’ Council of Australia, was wary of giving the protesters too much publicity, labelling them “a totally isolated fringe group that is insignificant”. He said demonstrators were “ignorant”, “misinformed” and “out of this world”, pointing to the fact that no mainstream organisations or politicians attended the rallies as evidence that they are in the minority. But chief executive of the Arab Council, Randa Kattan, warned that even small groups can be dangerous. “In terms of numbers they might be insignificant, but in terms of damage, it is significant,” she said. Kattan said it “only takes one incident” of racism or hatred to spark simmering tensions. The protesters are “squeaky wheels grabbing attention” in order to exploit existing divisions, she said. Solo dismissed protesters’ concerns that Australia would consider adopting sharia law, saying that “lacks serious grounds for action”. “Nothing of that nature can happen now ... or in the immediate future,” he said. Karapanagiotidis has criticised politicians from both sides for not speaking out against the Reclaim Australia rallies, drawing a contrast with German chancellor Angela Merkel who spoke out against ultra rightwing group Pegida by saying members had “hatred in their hearts”. He said the silence of politicians is “damning”, accusing them of exploiting anti-immigrant sentiment. Executive director of the Australian Multicultural Foundation, Hass Dellal, said that there is a “fear of the unknown” within the community, and that the rallies “shouldn’t be dismissed”. He said the best way to overcome that fear is via interfaith initiatives and through open engagement between diverse groups."
2015-11-11T13:16:08Z,US millionaire extends migrant rescue mission to Turkey and Greece,"An American millionaire has launched a private rescue mission in the eastern Mediterranean Sea in an attempt to save the lives of a still-increasing number of refugees and migrants sailing from Turkey to Greece. The Migrant Offshore Aid Station (Moas), a charity founded and run by Chris Catrambone, an American entrepreneur, already runs a rescue mission off the coast of Libya, and will now operate a second boat in waters between the Turkish coastline and the Greek islands of Lesbos, Chios and Samos. The ship’s two speedboats will be named after the two Syrian children, Aylan and Galip Kurdi, whose deaths in early September sparked international outrage. Several hundred thousand refugees, mainly Syrian and Afghan, have crossed this stretch of the Aegean Sea this year, and a rising number are now drowning due to the stormier weather conditions. A record 3,460 migrants have died in the Mediterranean so far in 2015, roughly 450 of whom drowned in the Aegean, according to figures supplied by the UN refugee agency. Explaining the decision, the charity’s director, Martin Xuereb, said: “As long as people are crossing for one reason or other, there needs to be an asset there that mitigates loss of life at sea. We’re not saying that saving lives will solve the issue of migration, we know it’s much more complex than that. But we’re there to look after the individuals or groups who feel they have no other option to take to boats whether it’s the central Mediterranean [north of Libya], or the Aegean.” Moas’s decision to expand search-and-rescue operations comes on the day that EU leaders meet in Malta for the latest in a series of conferences about how to end migration to Europe. Xuereb said he hoped the existence of Moas, and the high level of donations it has received from the general public in recent months, will show European leaders there is a substantial level of public support for more humane responses to the crisis. “I think what we have done is show that there is a section of people who do not want to be bystanders and do not want people to drown at sea,” said Xuereb, the former commander-in-chief of the Maltese army. “I’m not just talking about Moas, but the thousands of people who have supported us.” Moas will also begin rescue missions off the coast of south-east Asia in the coming months. Doctors Without Borders also operates rescue missions in the southern Mediterranean."
