Date,Title,Body
2015-12-17T08:44:33Z,Where media fails on the reporting of migrants and refugees,"Journalists who report on the global migration and refugee crisis often fail to tell the full story and routinely fall into propaganda traps laid by politicians, according to a report published by the Ethical Journalism Network (EJN). “Around the world, media coverage is often politically led with journalists following an agenda dominated by loose language and talk of invasion and swarms,” said Aidan White, EJN’s director. But it doesn’t have to be like that. As White said: “At other moments the story is laced with humanity, empathy and a focus on the suffering of those involved.” The 100-page report, Moving Stories, has been released just ahead of the United Nations-sponsored International Migrants Day on Friday 18 December. It reviews media coverage of migration in the European Union and in 14 countries across the world. Among the topics it highlights are: Missed opportunities: How European media outlets failed to raise the alarm about an imminent influx of refugees fleeing war in Syria and Iraq, even though the story was there to be told a year before the crisis broke in 2015. Hate speech: How malevolent anti-migrant or anti-Muslim statements by politicians like Donald Trump in the United States and some European leaders fuelled increasing public concern and hijacked media coverage. Falling standards: How media failed to provide detailed and reliable information about the refugee crisis because of stretched editorial resources or due to the lack of presence of well-informed journalists able to provide in-depth and sensitive reporting; Sensationalism: How much journalism is driven by hyperbole, intolerance and distortion with media in confusion over what are the correct terms to use to describe migrants, refugees and asylum-seekers. To counter these problems, the report recommends that news media take urgent action to appoint specialist reporters to the migration beat. It also calls for industry wide and in-house training on migration issues and problems of hate-speech; improved links with migrant and refugee groups; and more employment of journalists from ethnic minority communities to strengthen diversity in newsrooms. The report highlights how media coverage, much of it negative and focused on numbers of migrants on the move, took a dramatic turn with the death of Alan Kurdi and the publication of pictures of his body on a beach in Turkey. It was only from that moment that editors woke up to the human tragedy within the migration story. In his foreword to the report Jan Egeland, secretary-general of the Norwegian Refugee Council, sums up the challenge facing media: “It is not just a lack of humanity on the news agenda or a matter of luck or a matter of caring more about some people at the expense of others. We need a broader lens to see what really is going on. The reports states: “There is a tendency, both among many politicians and in sections of the mainstream media, to lump migrants together and present them as a seemingly endless tide of people who will steal jobs, become a burden on the state and ultimately threaten the native way of life. “Such reporting is not only wrong; it is also dishonest. Migrants often bring enormous benefits to their adopted countries.” Download the full report HERE"
2015-11-05T20:05:28Z,Diane Abbott: economic migrants and refugees deserve equal sympathy,"Economic migrants coming to Britain should be treated with the same sympathy as refugees fleeing war, Diane Abbott has said. The shadow international development secretary also said it is wrong and racist to claim, as some of her colleagues in the Labour party had done previously, that eastern European immigrants were the cause of wage cuts for English workers. Abbott was speaking on Thursday at an event to welcome refugees in north London also attended by the Labour leader, Jeremy Corbyn. The refugee and immigration issue is likely to be controversial as Labour seeks to defeat a Ukip challenge in next month’s Oldham West byelection, triggered by the death of Michael Meacher. She said: “I would remind you, thousands of people crossing the Sahara, risking their lives in the Mediterranean, coming over the Balkans, are also economic migrants and we do not want to fall into the error of thinking that refugees are in some sense a class of migrant more deserving of our sympathy. “Just as our hearts goes out to Syrians struggling, dying, suffering and drowning, our hearts should also go out to economic migrants in Nigeria, Eritrea and north Africa, struggling, drowning and suffering. Economic migrants are not a lesser cause.” She said the migration crisis had been caused by problems such as climate change and instability, but “above all there are issues with a series of ill-fated western interventions in Libya, Syria, Iraq and across the Middle East”. The European Union is predicting that there will be as many as 3 million refugees arriving in Europe next year. Without naming any individual, Abbott also criticised “those in the Labour party that seem to want to argue that immigrants are in some sense the cause of our economic woes”. She said: “This is something I deplore. Immigrants in and of themselves do not cause low wages. Predatory employers, deregulated labour markets and weakened trade unions – they cause low wages.” She argued that some people, including members of the Labour party, wrongly contend that the current debate about immigration is not about race by pointing to the fact that eastern Europeans are white. Abbott said: “I would refer them to the toxic anti-Irish racism of the 19th century – the way the Irish were dehumanised and caricatured. Every single allegation made against the eastern Europeans – they were undercutting local labour, they were driving down wages, that they were the cause of the problems of the English working class – every single allegation that you hear made against eastern European migrants today, they said about the Irish in the 19th century. It was wrong then and it is wrong now.” The government’s response to the crisis was inadequate because the refugee conversation had been poisoned by the toxic debate about immigration year after year, she said. Abbott added that it was hypocritical of neoliberals to wring their hands about the effects of eastern Europeans on wages, since it was the liberalisation of labour markets and the weakening of trade unions that were the real culprits. She described Corbyn as “the first authentically leftwing leader of the Labour party in a generation”. Speaking at the event, Corbyn said his success in the Labour leadership election showed “the politics of me, not we, are over”. “It was a victory not for me, but for all those that want to see a different, better and more peaceful world,” he said. He called on Britain to “hold out the hand of humanity and not brutality to refugees. I do not use the language of swarm and swamp and all those things. I look at those people as fellow human beings, just like you, just like me, just doing their best to survive in a cruel and dangerous world”. Corbyn said David Cameron’s pledge to take in up to 20,000 Syrian refugees over five years was inadequate, pointing to the hundreds of thousands being granted asylum by Germany and urging the government to assist local councils in giving a place of safety to refugees in the UK. He insisted he held no brief for those fighting in Syria, and said he only wanted peace in the region. “Further bombing, further interventions, further boots on the ground, further wars is not going to solve the problem. All wars have to end by a political solution,” Corbyn added. Without specifying how many refugees the British government should take, the Labour leader pointed out that Germany has taken hundreds of thousands of refugees and Britain should be doing more. He said: “Refugees should not be treated as a problem, a threat, a difficulty and somehow or other to be confronted and kept out.“The problem across Europe will not be solved by the construction of razor-wire fences around countries, by having gun boats in the sea and by having electronic surveillance and tagging of people all across the world that are trying to achieve a place of safety.” The solution lay “in greater equality and above all by ending the series of wars that have disfigured this century so far,” Corbyn added."
2015-12-22T12:43:53Z,"Over a million migrants and refugees have reached Europe this year, says IOM","More than a million people have now reached Europe through irregular means in 2015, the International Organisation for Migration has announced, in what constitutes the continent’s biggest wave of mass migration since the aftermath of the second world war. Out of a total of 1,005,504 arrivals by 21 December, the vast majority – 816,752 – arrived by sea in Greece, the IOM said. A further 150,317 arrived by sea in Italy, with much smaller figures for Spain, Malta and Cyprus. A total of 34,215 crossed by land routes, such as over the Turkish-Bulgarian border. The overall figure is a four-fold increase from 2014’s figures, and has largely been driven by Syrians fleeing their country’s civil war. Afghans, Iraqis and Eritreans fleeing conflict and repression are the other significant national groups. The European migration flow is nevertheless far more manageable than in the Middle East, where roughly 2.2 million Syrian refugees live in Turkey alone. In Lebanon, 1.1 million Syrians form about one-fifth of the country’s total population, while Jordan’s 633,000 registered Syrian refugees make up around a tenth of the total. The denial of basic rights to refugees in those countries, where almost all Syrians do not have the right to work, is one of the causes of Europe’s migration crisis. Refugees who have lived for several years in legal limbo are now coming to Europe to claim the rights bestowed on them by the 1951 UN refugee convention. “In Jordan, life is so difficult,” said Nemer, a 24-year-old Syrian student, minutes after landing this week on the Greek island of Lesbos. “There’s no [legal] work. I can’t go to university. There’s no hope. And in Turkey it’s the same thing: no work and no hope.” Other refugees are fleeing directly from the war zones themselves. Aruba al-Rifai, a 44-year-old civil servant from the outskirts of Damascus, arrived on Lesbos this week having come straight from Syria. “The bombs are getting worse, and it’s just the beginning,” said Rifai. “I come to Europe to feel like a human being.” Among rights workers, Tuesday’s news prompted renewed calls for Europe to set up safe and legal access to refugees. Save the Children, which says that over a quarter of refugee arrivals to Europe this year have been minors, said the absence of a more humanitarian response meant that the values of the continent were now at risk. “Despite many European countries and people generously helping one million refugees, Europe is doing too little to protect and help vulnerable refugee children and stop families drowning on our shores,” said Kirsty McNeill, the charity’s campaigns director. “This is the test of our European ideal. When children are dying on our doorstep we need to take bolder action. There can be no bigger priority.” Among other demands, McNeill also called for better provision for refugees once they arrive in Europe. “Some reception facilities, especially at borders, aren’t adequately providing for basic needs like food, water or healthcare,” McNeill said in a statement. “The situation is expected to worsen with the onset of winter – especially for children -who are also more vulnerable to abuse, exploitation, violence and trafficking. We urge European states to focus on immediate humanitarian needs on the ground, especially for children.” The record movement of people into Europe is a symptom of a record level of disruption around the globe, with numbers of refugees and internally displaced people far surpassing 60 million, UNHCR said last week. “I don’t understand why people are insisting that this is a European problem. This is a global issue,” Michael Moller, director of the UN office in Geneva, told a news conference on Tuesday. The UN refugee chief Antonio Guterres called on Friday for a “massive resettlement” of Syrian and other refugees within Europe, to distribute many hundreds of thousands of people before the continent’s asylum system crumbles. He called for European countries to recognise the positive contributions made by refugees and migrants and to honour what he said were “core European values: protecting lives, upholding human rights and promoting tolerance and diversity.” Lesbos is now the main refugee gateway to Europe, with just under half of those entering the continent in 2015 doing so by using the island as a staging post between the Greek mainland and the nearby shores of Turkey. Despite the worsening weather, and despite a so-called crackdown on Turkey’s people-smugglers, the numbers arriving in December are still higher than in June and July. Over 15 boats arrived on Lesbos on Monday. Across the Greek islands, the average number of refugees arriving each day in December is 3,338, lower than the October peak of 6,828, but far higher than July’s 1,771. The IOM data is the latest in a slew of different and sometimes contradictory figures being used to quantify the European migration crisis. Other sources include the UN refugee agency, which is not publicly monitoring land arrivals; Frontex, the EU border agency, which sometimes double-counts people; and Eurostat, the EU’s statistics agency, whose data conflates numbers from the refugee crisis with those that refer to internal European migration. Between 12 and 14 million Europeans are estimated to have been displaced in the aftermath of the second world war."
2015-08-28T15:51:21Z,"Migrants, refugees and asylum seekers: what's the difference?","In the current migration crisis, the terms “migrant”, “refugee” and less commonly “asylum seeker” are used daily to mean one and the same thing. Each term, however, has a distinct meaning that carries different international obligations and consequences. If conflated, it can mean the difference between life and death. So what are thoe differences? Migrant At its simplest, a migrant is someone who moves from one place to another in order to live in another country for more than a year. The International Organisation of Migration estimates that 232 million people a year become international migrants and another 740 million move within their own countries. The are many reasons that people become migrants, but those who move to work or seek a better life are generally termed economic migrants. There are, however, also international students, those who move for family reasons and those who migrate because they are fleeing war and persecution. An individual case can be a mixture of all those things. It is, after all, possible to flee the war in Syria and want a better life for your family. Migrants from outside the EU are subject to immigration controls and may need a visa to enter certain countries, including Britain. They do not have immediate access to social housing or benefits, but may have an eventual pathway to settlement and citizenship. They can also be detained or deported if they fail to comply with immigration laws. Just over 636,000 migrants arrived in Britain in the past 12 months, according to the latest figures, which included 25,000 asylum seekers. Once migrants arrive in a country such as Britain there is little agreement over what the word covers. In the past “immigrant” has meant someone who intends to settle in a new country. “Migrant” has been increasingly adopted to cover those who come to work for a short period then return home. “The migrant population” is used to describe foreign nationals resident in a country, but also those who are foreign-born residents even if they have become citizens. Refugee A refugee is a person who has fled armed conflict or persecution and who is recognised as needing of international protection because it is too dangerous for them to return home. They are protected under international law by the 1951 refugee convention, which defines what a refugee is and outlines the basic rights afforded to them. The convention’s basic principle is that refugees should not be expelled or returned to situations where their life and freedom would be under threat. Once someone has been recognised as a refugee, they are supposed to be given access to social housing and welfare benefits and helped to find a job and integrate into society. The UN refugee agency (UNHCR) estimates that there are almost 60 million forcibly displaced people around the world, including those displaced within their own countries. Asylum seeker States are under international obligation to consider claims for asylum and not to immediately return asylum seekers to the countries they have fled from. The refugee convention states that they must be given access to fair and efficient asylum procedures and measures to ensure they live in dignity and safety while their claims are processed. In the UK in practice this means living in no-choice accommodation outside London and south-east England on a minimal level of social security."
2015-09-04T08:20:59Z,"Refugees are Australia's most entrepreneurial migrants, says research","Refugees are not taking Australian jobs, they are creating new ones, according to new government research that reveals humanitarian arrivals are the country’s most entrepreneurial migrants. People from the UK and India – most of whom arrived on skilled or family visas – contributed the largest share of the $38bn earned by migrants in Australia in 2009-10, data from the Australian Bureau of Statistics, released on Friday, reveals. But it was migrants who arrived as refugees who reported the highest proportion of their incomes that year “from their own unincorporated businesses”. This income grew with the length of time they spent in Australia, and “increased sharply” after five years of residency. The report built on earlier research showing humanitarian migrants tended to work several jobs in their first few years in Australia to build capital to start their own businesses, the ABS said. One such entrepreneur is Bassam Jabbar, who recently arrived from Iraq, and with the help of Settlement Services International (SSI), has established a glass-etching artwork business. He told Guardian Australia the biggest hurdle to starting a business was “knowing the country, knowing how people think, the regulations”. “Refugees have left their country, their society, their language behind and so of course they find it easier to work in their own business – especially artists,” he said. Nearly 10% of humanitarian migrants’ incomes in 2009-10 were generated by their own businesses, almost twice the figure recorded in other categories, such as skilled and family migrants. This income was overwhelmingly made by men, most aged between 25 and 44. Afghans earned the largest share of the profits generated by humanitarian migrant businesses. Violet Roumeliotis, the chief executive of SSI, said she “wasn’t surprised at all” by the data. “Being from countries where they need to be enterprising to survive, because there’s no welfare state, refugees are keen to pick an area of passion or where they have a skill and start a business,” she said."
2015-09-16T18:21:55Z,Refugee crisis escalates as migrants break through Hungarian border,"Europe’s biggest refugee crisis since the second world war entered a new phase on Wednesday as hundreds of trapped refugees briefly broke through a border gate on the now-blocked Hungarian border, leading to frenzied clashes with Hungarian police, while hundreds of others forged a new route through Croatia. Hungarian riot police fired teargas and water cannon across the border with Serbia after frustrated crowds, who had gathered there in their thousands when Hungary closed its frontier on Tuesday, tried to burst through a gate that connects the two countries. Hungary’s actions were met with fury by the Serbian government, which said its northern neighbours had no right to fire into Serbian territory. Serbia’s prime minister accused Hungary of “brutal” and “non-European” behaviour and urged the European Union to respond. “We will not allow anyone to humiliate us. I call on the European Union to react, for its members to behave in line with European values,” Aleksandar Vucic told Serbian state television. “If the EU does not react, we will find a way to protect our borders and European values as well,” he said. Amnesty International reported that at least seven children had been injured in the chaos, one sustaining a head wound and another blinded by pepper spray. Hungary said 20 policemen had been hurt. An official said they had detained 29 migrants during clashes and described one of them as an “identified terrorist”, without expanding further. Tensions boiled over after thousands of refugees fleeing wars in Syria, Iraq and Afghanistan began arriving at the Horgoš border crossing between Serbia and Hungary in the hours after Budapest finally sealed it following months of threats to do so. For many refugees, whose understanding of how to navigate Europe is largely gleaned from the more than 170,000 people who had successfully transited through Hungary since the start of the year, the move came as a shock. Frustrations were amplified further when a handful of Syrians who were subsequently allowed into Hungary to claim asylum had their applications rejected within minutes, seemingly without a proper assessment of their individual cases and backgrounds. The tipping point came after an Iraqi refugee, one of 60 who was caught trying to breach the new border fence in separate incidents on Tuesday, was convicted in a specially convened Hungarian court. He was the first to be prosecuted under new Hungarian laws enacted this week that criminalise the act of crossing the fence. A few hours after his expedited conviction, a few miles to the south of the courthouse in Horgoš, crowds kicked in the gate to the official border crossing. Documenting the scenes on the ground, Amnesty’s head of crisis response, Tirana Hassan, said the chaos was an indictment of Europe’s unjust response to the refugee crisis, which governments have largely tried to contain with a series of border closures rather than offering refugees safe and free passage to the continent. “Things are at boiling point,” Hassan said as a wounded woman was carried past her. “This is a clear message that Hungary and the EU need to find real solutions to the refugee crisis. Keeping people in limbo will only make it worse.” A temporary pressure valve emerged on Wednesday on Serbia’s border with Croatia, after Croatia’s prime minister, Zoran Milanović, condemned Hungary’s border closure and promised to help speed the flow of refugees through his country if necessary. “We are ready to accept and direct those people,” Milanović said, claiming that people “will be able to pass through Croatia and we are working intensively to enable that”. Serbia then began bussing refugees arriving at its southern border with Macedonia straight to the town of Šid, close to its western border with Croatia. Others headed there by public bus and taxi from the Hungarian border, and by mid-afternoon a steady of flow of people were marching through the flat farmland from Šid towards Croatia. The Croatian police were waiting for them, with vans parked in the fields ready to drive refugees into Tovarnik, the first town on the Croatian side. In what has become a familiar, harrowing scene, there were old men limping through the fields, parents walking with children on their shoulders, and a woman in a wheelchair. Some admitted they were entering an unknown, just as the first few Syrians who crossed into Hungary a year ago did so without knowledge of whether it would work. While Croatia said it would aid people’s transit, Slovenia – the next country along the route – said it would make people apply for asylum, even though it is not a desired destination for most refugees. For its part, the Hungarian government said it could build another border fence along its shared border with Croatia. The final domino to fall was Austria, which lies beyond Slovenia and whose government said it could implement border checks along its Slovenian border. To add to the uncertainty, Croatian mine experts warned that there remained around 2 sq km of live landmines on the Serbian border. Miljenko Vahtaric, assistant director at the Croatia Mine Action Centre, told the Guardian: “We have marked all these areas on our maps – but unfortunately refugees don’t have any means to get these maps. So there is always the possibility that somebody could enter these suspected hazardous areas and get wounded or even killed.” Confronted with these myriad problems, refugees walking into Croatia said it was worth the risk. “We just heard about this route,” said Mohamed Ahmed, a 26-year-old Syrian doctor from Deir Ezzor, as he strode towards Croatia with his older sister Noor and younger brother Ali. “We thought we should check it out immediately, see if it is a route or not. It’s not difficult for people who are fleeing from terrible conditions to do it.” A few hundred metres behind him, Ahmed Riad, a 58-year-old Iraqi from Islamic State-controlled Samarrat, limped along in flip-flops. He first went to Croatia as a tourist in 1982, and remembered the blue buildings of the university. Now, 33 years later, he was returning as a refugee, and his first sight was a thin blue line of police. “The police are waiting for us?” Riad asked his friends. “Will they send us back?” And without knowing the answer, he walked across the latest frontier of the European migration crisis, into Croatia. “It’s terrible,” were his last words before leaving Serbia, after being asked his opinion on Europe’s treatment of refugees. “They must accept us. They must help us.”"
2015-09-03T13:54:52Z,Cameron must help refugees and bin the economic migrant label,"When it comes to refugees David Cameron has a record of not rushing into a response in the face of a public outcry that more must be done. When in January 2014 the UN launched an appeal, backed by 25 charities including Oxfam and Amnesty International, to take part in a large-scale programme to resettle 30,000 people fleeing Syria, it was weeks before Cameron responded. When he did, he declined to take part in the UN programme, saying it would be tokenistic given the huge number of refugees. Instead he stepped up Britain’s aid programme to help refugees in the region and set up a separate vulnerable persons relocation scheme, which prioritised victims of sexual violence, elderly and disabled people and victims of torture. As of June, only 215 people have come to Britain under this scheme. In April, the refugee crisis came to a new head during the general election, when hundreds of people drowned trying to cross the Mediterranean. Their plight provoked a new public outcry but it was not until after the Ukip leader, Nigel Farage, had demanded that Britain should help pluck them from the sea that Cameron ordered the Royal Navy to take part. Unfortunately, no major Royal Navy ship is involved any longer in proactive search and rescue operations. So what considerations are involved in Cameron’s stance on taking more refugees? The government rightly points out that it has been the second largest aid donor in the world, after the US, committing more than £900m to help the 4 million UN-registered refugees in Lebanon, Jordan and neighbouring countries by providing food rations and other help. In July, Justine Greening, the international development minister, insisted the policy was working because “only 2% of the 11 million displaced Syrians have sought asylum in Europe”. But the latest flows of desperate people show that the conditions in those camps have become so unbearable that it is no longer a solution. What about responding to the demands of the Germans, Italians and French for Britain to share the responsibility for relocating around Europe those refugees who have made it across the Mediterranean and had their claims for asylum recognised? Britain has refused repeated requests to take part in two EU schemes: the first to relocate over the next two years 40,000 of those who have made it to Europe, and the second, more modest, scheme to resettle 20,000 refugees from the Middle East and north Africa around Europe. Theresa May has insisted that opening up such legal routes to protection will only act as a “pull factor” encouraging more people to come. The greatest pressure Britain will face within Europe in the build-up to the crucial EU interior ministers’ meeting on 14 September will be to participate in the two schemes. The decisions by Germany and Sweden to suspend the Dublin convention and open their doors to asylum seekers regardless of having reached another EU country first has intensified the pressure. The problem with being flexible is that Cameron has insisted most of those trying to cross the Mediterranean are not people fleeing wars but economic migrants seeking a bigger life. The distinction makes a big difference, because even Britain recognises that refugees must be given international protection and help to settle while economic migrants can be sent back to where they came from. In this crisis Britain has argued most strongly for the registration, fingerprinting and processing of asylum claims of those who make it across the Mediterranean, with a view to rapidly return those whose claims are rejected. On Sunday, May signed a letter with the French and Germans, calling for “hotspot” processing centres in Italy and Greece, an EU-wide list of countries it is safe to return rejected asylum seekers to and a for a rapid returns programme. The Germans are keen that a number of Balkan countries, including Kosovo, Albania and Serbia are on the list as they account for a significant slice of the 800,000 asylum applications they anticipate this year. Britain would also like licence to rapidly return Albanians who feature strongly in UK asylum applications. But all the evidence shows that most of those crossing the Mediterranean are refugees not asylum seekers. EU statistics show that 94% of the Syrians who make it to Europe are given official refugee status, 88% of Iraqis are recognised as refugees, 90% of Eritreans and 66% of Afghans. If they can make it, they will get help, but as the recent scenes at Calais show, getting into Britain to claim asylum is a lot more difficult than it might appear. Cameron, however, will need to drop his claim that most people trying to come to Britain are economic migrants rather than refugees to do more to help them. Some voices have started to demand that Britain should only take more unaccompanied children or victims of sexual violence. Well, the existing UK vulnerable persons relocation scheme already prioritises women who have been victims of rape in Syria, and the suggestion of only helping the orphaned children ignores the fact that we already officially recognise that even the most able-bodied adult male Syrian deserves our protection if only they could reach Britain. The danger is that while Britain has a tradition of humanitarian protection it also has a longer tradition of solving these questions by military means as well, whether in this case it means using the Navy to seize the smugglers’ boats or bombing Syria - both of which options Cameron is also considering."
2015-09-19T19:23:08Z,Refugee crisis: young migrants blaze new trails through Europe,"When the refugee route to the European Union swerved west into Croatia last week, some of the first people to blaze the trail were the three Ahmed siblings from Deir Ez-zor. After Hungary, the gateway to Europe for more than 170,000 refugees this year, closed its border on Tuesday, thousands of the Ahmeds’ compatriots simply stayed put, unsure of where to go next. But Mohamed, Noor and Ali Ahmed didn’t waste time. After just one day, they paid for a taxi to the last Serbian town before Croatia, and then began marching through the flat farmland that stretches across the Serbo-Croatian border. The eldest, Mohamed, a 26-year-old doctor, admitted they had no idea of what to expect. “We just heard about this route,” added Ahmed. “We thought we should check it out immediately, see if it is a route or not.” It’s impossible to say how refugees collectively shift direction, or to specify which of them are most responsible for forging or popularising a new path. But the fastest movers, and the most daring (or foolhardy) decision makers, are often small groups of mobile twenty-somethings like the Ahmeds. When the Hungarian route was first used by sizable numbers of Syrians late last summer, the first accounts of the trip on Facebook appeared to be written by young people for other young people. “Wear nice clothes, hair gel, and perfume,” advised one page that offered early tips on how people could enter Hungary. There was nothing on how to do it with children. When that route finally closed last week, the last people to give up on it were the large families who waited in hope at the border gates, even after most others had left to take a punt on Croatia. “We will stay here until we hear that Croatia is a safe route,” said a cautious Kawa Uso, a Kurd travelling with his extended family. If you’re not trying to carry several children across a continent, you can move faster and take more risks, explains Zahraa Daoud, a 23-year-old trying to navigate Croatia last week with a group of similarly aged friends. “It’s much better this way,” says Daoud, a Syrian literature student. “We’re all young guys and girls, we’re all healthy, we can walk and run and do anything.” For Nooreddine Hamed, a 38-year-old Syrian engineer, every calculation he makes along the route is that much harder because he has five children with him. “It’s much slower,” Hamed says. “Your children have luggage, not just you. And you have to look after them. They need more rests and toilet breaks.” His family left home in Syria two weeks ago, a week before Daoud. Now both groups are at the same place in the trail, and the Hameds are about to get overtaken again. “The crowds we walk with change all the time because we go so slowly,” Hamed says. Much has been made of the refugees’ hive-mind on social media, the sharing of information on Facebook and WhatsApp between those who have successfully made it to northern Europe, and those in their wake. Social media helps to explain how the Hungarian route went from being a niche in 2014 to a full-on refugee superhighway this year. The more the word spread about the trail – and the more tips that were shared about routes, smugglers and tactics – the more it became a viable option. However, what last week’s events have shown is that there are limits to the speed at which the hive-mind works. Information can only be shared as long as people have the internet. And as they hop between countries, most refugees get online only fleetingly. So the news that Hungary had closed its border took a while to reach people. Even on Thursday, more than two days after it was shut, refugees were still arriving there, shocked that the path was now blocked. “Are you sure?” asked one late Syrian arrival, Alaa Eddine, after being informed that Hungary was closed. “This is the route they told me to come.” With no Facebook groups or successful refugees to call on, people have had to rely on other methods of information gathering – a process that takes longer, and is more uncertain. In the absence of a new known route, Daoud says she started asking UN officials and local policemen. “You don’t just ask one policeman,” says Daoud. “You’re looking for the policeman who says, ‘Don’t tell anyone I’m telling you, but you should do this …’ ” Others rely on smugglers to plan the route. Interviewed earlier this summer in Serbia, an Afghan surgeon described how he had paid a smuggling network around €10,000 to plan every stage of the journey for him. “Sometimes they give me GPS, sometimes they give me a map, sometimes they send me a car,” said Yama Nayab, who fled Afghanistan with his family after being stabbed near the heart. Last week, even the smugglers were struggling. Asked about possible alternative routes through Croatia, one Belgrade-based smuggler initially seemed surprised. Others kept taking refugees to the Hungarian border, even after it was closed. In the end, it was an intervention from the Serbian government that ultimately forced the biggest change in the European migration route since last year. After the Hungarian government was unmoved by requests to reopen its border, Serbia simply began bussing people entering from Macedonia in the south to Croatia in the west. It was a decision that most refugees didn’t properly understand. One asked if they were going to have to cross another sea. “What’s the name of this country?” asked a second man, 40-year-old Ali Sadoun from Iraq. “Croatia?”"
2015-08-10T06:59:59Z,Migrant life in Calais' Jungle refugee camp - a photo essay,
2015-07-27T11:57:49Z,"These are refugees, not migrants, arriving in their thousands on Greek shores | Kirk Day","As I stood in the middle of the squalid Kara Tepe transit camp on Lesbos, I was struck by the utter perverseness of the refugee drama unfolding on this Greek island. I was supporting a flash-mob of local volunteers and tourists – supported by local officials – to clean the camp, which is now a temporary home for 3,000 refugees. Litter was everywhere – and posing a health risk. The selflessness and dedication of the local volunteers, who have been responding to the crisis virtually unaided for several years, is awe-inspiring. As I picked up the trash under a searing sun, four questions came to my mind, the answers to which should make us all uncomfortable. First, why is the crisis repeatedly referred to by the media and by officials in European capitals as a “migrant” crisis? Here, in Greece, nothing could be further from the truth. According to the most recent figures from the United Nations High Commissioner for Refugees, of the more than 77,000 arrivals in Greece since the beginning of the year, 85% are refugees. More than 60% of these are fleeing the conflict in Syria, with others escaping continued violence in Afghanistan. Likewise, the majority of people arriving nearby in Italy are fleeing armed conflict in Somalia or conscription in Eritrea. Even among those who are not refugees, many arriving on Europe’s shores are vulnerable for other reasons. Some are unaccompanied children, or victims of sexual trafficking, or have been tortured and traumatised as they made their way across the Sahara to Africa’s Mediterranean coast before eventually reaching Europe. Refugees and other vulnerable people deserve the protection and assistance to which they are entitled under international law. Second, this crisis was not unexpected. For some time, the International Rescue Committee (IRC) and others have warned that countries neighbouring conflict areas are reaching their maximum capacity to absorb any more refugees. Without legal alternative routes for refugees to enter other European countries, people fleeing conflicts in the Middle East, Africa and elsewhere have taken matters into their own hands, risking their lives – often on flimsy rubber dinghies across dangerous stretches of the Aegean and Mediterranean – to seek the sanctuary of Europe. With more people displaced by conflict globally than ever before– 59.5 million – Europe has to recognise that this problem is not going away, and that it needs to respond meaningfully to provide help. Third, why has much of the world looked away from the crisis in the Mediterranean? The IRC is built to respond to emergencies in some of the poorest and most conflict-ridden countries. That we have had to deploy an emergency response team to Europe to make sure refugees receive clean water and have access to toilets, rather than defecate in the open, is a sad commentary on the state of affairs in the region. For far, far too long, local Greek officials and volunteers have had to shoulder this burden, and at a time when they have had to endure paralysing austerity measures and the most recent financial crisis. Despite these hardships, the compassion and generosity of local groups has put the international community to shame. And, the refugee crisis in Greece is only likely to get worse. Local officials and aid experts estimate that 200,000 refugees will come to Greece this year. This will undoubtedly overwhelm the primarily local-led relief efforts. Europe also needs to provide more support to Greece so that it can provide a humane and dignified reception for refugees. When they arrive on Lesbos, refugees are not provided with medical check-ups or other assistance, aside from that provided by community volunteers. Until very recently, refugees often walked 40 miles, often in 32C (90F) heat, from the northern coast where they landed to the Kara Tepe transit camp. This is simply cruel. Fourth, why have European members states continued the ongoing asylum charade, forcing refugees to further risk their lives by requiring them to furtively travel to their desired asylum destinations? Europe’s asylum policies mean that a refugee has to apply for asylum in the country where he or she first arrives, which for those coming from Libya and Turkey almost always means Italy or Greece. Desperate to rejoin family members in other European countries or to live where there are real job prospects, many people avoid registration and continue their journeys illegally. Would it not be more humane to allow these vulnerable groups to seek asylum at European embassies in Athens, or better yet, in European embassies in their home regions? Or at the very least ensure safe passage to their desired onward destinations – often to be reunited with waiting family members? As it stands, refugees who reach Greece are then forced to travel through Macedonia, Serbia and Hungary to other destinations in Europe, a route making them vulnerable to human traffickers, gangs and corrupt officials. Ultimately, at what point do we all conclude that these people have already suffered enough and deserve to be aided in their flight to safety? At the International Rescue Committee, we have already made this decision. Kirk Day is the International Rescue Committee’s emergency field director in Lesbos."
